Designator,Mid X,Mid Y,Layer,Rotation
B1,19.304,33.782,TOP,0
B2,19.304,19.558,TOP,0
B3,32.512,44.831,TOP,90
B4,38.862,37.846,TOP,90
B5,29.464,16.891,TOP,0
B6,36.449,23.876,TOP,0
B7,36.449,9.906,TOP,0
B8,43.434,16.891,TOP,0
J3,7.23,26.67,TOP,90
Q1,21.209,11.303,TOP,0
Q2,21.209,7.493,TOP,0
R1,19.05,45.085,TOP,90
R2,13.335,45.085,TOP,270
R3,16.129,45.085,TOP,270
R4,16.002,40.767,TOP,90
R5,19.05,40.767,TOP,90
R6,13.335,40.767,TOP,90
R7,24.384,11.303,TOP,90
R8,24.384,7.493,TOP,90
U$1,22.535,3.81,TOP,270
